subject,sessionIndex,rep,DD.period.t,UU.period.t,DD.t.i,UU.t.i,DD.i.e,UU.i.e,DD.e.five,UU.e.five,DD.five.Shift.r,UU.five.Shift.r,DD.Shift.r.o,UU.Shift.r.o,DD.o.a,UU.o.a,DD.a.n,UU.a.n,DD.n.l,UU.n.l,DD.l.Return,UU.l.Return
s002,1,1,0.3979,0.3557,0.1674,0.1774,0.2212,0.2460,1.1885,1.1614,1.6055,1.5976,0.7590,0.7539,0.2136,0.2469,0.1484,0.1067,0.3515,0.3921,0.3509,0.2913
s002,1,2,0.3451,0.3034,0.1283,0.1497,0.1357,0.1278,1.1970,1.1830,0.7822,0.8703,0.7877,0.7373,0.1684,0.2030,0.2558,0.2292,0.2642,0.2335,0.2756,0.2664
s002,1,3,0.2072,0.1475,0.1291,0.1381,0.1542,0.1529,1.0408,1.0492,0.6203,0.6765,0.7195,0.7106,0.2931,0.3187,0.2332,0.1883,0.2705,0.2618,0.2847,0.2707
s002,1,4,0.2515,0.2283,0.2495,0.2476,0.2038,0.1898,1.0556,1.0569,1.2564,1.3105,0.7550,0.7052,0.1530,0.2031,0.1629,0.1038,0.2341,0.2320,0.3232,0.3200
s002,1,5,0.2317,0.1963,0.1676,0.1684,0.1589,0.1491,0.8629,0.8566,0.8955,0.9456,0.7632,0.6819,0.1975,0.2857,0.1582,0.1154,0.2517,0.2536,0.2517,0.2432
s002,1,6,0.2343,0.1762,0.1299,0.1230,0.1412,0.1531,0.9373,0.9452,1.0896,1.1635,0.3716,0.3189,0.1287,0.1405,0.1534,0.1120,0.2528,0.2462,0.2971,0.2770
s002,1,7,0.2069,0.1871,0.1368,0.1302,0.1407,0.1396,0.7967,0.8033,1.2005,1.2098,0.3083,0.3368,0.1400,0.1485,0.1204,0.0668,0.1999,0.2096,0.2907,0.2918
s002,1,8,0.1810,0.1699,0.1378,0.1307,0.1367,0.1396,0.6447,0.7044,1.1876,1.1562,0.3139,0.2983,0.1152,0.1571,0.1040,0.0539,0.2127,0.2312,0.2776,0.2449
s002,1,9,0.1797,0.1602,0.1296,0.1364,0.1425,0.1341,0.7357,0.7402,0.9406,0.9633,0.2257,0.2344,0.1260,0.1408,0.1403,0.0928,0.2138,0.2233,0.2868,0.2620
s002,1,10,0.1807,0.1445,0.1457,0.1492,0.1241,0.1288,0.7550,0.7563,0.8065,0.8395,0.3117,0.3080,0.1785,0.2129,0.1162,0.0906,0.2281,0.2278,0.3187,0.2849
s002,1,11,0.1660,0.1649,0.1560,0.1523,0.1386,0.1239,0.6927,0.7059,0.8135,0.8589,0.3157,0.2827,0.1746,0.2480,0.0502,-0.0314,0.4062,0.4123,0.2897,0.2762
s002,1,12,0.1525,0.1438,0.1516,0.1423,0.1391,0.1492,0.9155,0.9036,0.7485,0.7965,0.4426,0.4336,0.2065,0.2427,0.1492,0.0785,0.2201,0.2185,0.2599,0.2636
s002,1,13,0.1620,0.1406,0.1547,0.1444,0.1349,0.1260,0.7028,0.7371,1.0995,1.1101,0.3474,0.3481,0.1967,0.2207,0.1581,0.1119,0.3101,0.3252,0.3008,0.2404
s002,1,14,0.1871,0.1773,0.1919,0.1956,0.1600,0.1373,0.9165,0.9437,0.7640,0.8152,0.3954,0.3516,0.4337,0.4659,0.1885,0.1336,0.2827,0.3281,0.3889,0.3019
s002,1,15,0.2562,0.2132,0.1549,0.1702,0.1462,0.1536,1.3501,1.3361,1.0669,1.1134,0.6546,0.6572,0.2112,0.2229,0.1083,0.0518,0.2072,0.2230,1.1307,1.1581
s002,1,16,0.1839,0.1480,0.1381,0.1365,0.1774,0.1618,0.6069,0.6111,0.8047,0.8571,0.2020,0.1919,0.1746,0.1880,0.1521,0.0957,0.1954,0.2122,0.2643,0.2332
s002,1,17,0.1799,0.1575,0.1434,0.1402,0.1412,0.1489,0.8381,0.8703,0.8525,0.8520,0.3701,0.3547,0.1531,0.2171,0.1186,0.0460,0.1954,0.2093,0.2385,0.2103
s002,1,18,0.1755,0.1480,0.1391,0.1508,0.1613,0.1541,0.7700,0.7592,0.6947,0.7539,0.4860,0.4242,0.1609,0.2179,0.0697,0.0207,0.1944,0.2341,0.2976,0.2617
s002,1,19,0.2237,0.1897,0.1880,0.1962,0.1803,0.1702,0.7784,0.7898,0.5635,0.5717,0.2954,0.2500,0.2160,0.2500,0.0135,0.0397,0.2526,0.2259,0.6565,0.6544
s002,1,20,0.1781,0.1483,0.1418,0.1481,0.1544,0.1496,0.6140,0.6315,0.7332,0.7514,0.2529,0.2508,0.2297,0.2115,0.3128,0.3283,0.7067,0.7313,0.3063,0.2548
s002,1,21,0.1374,0.1219,0.1629,0.1542,0.1521,0.1494,0.7165,0.7350,0.5739,0.5726,0.2503,0.1830,0.3026,0.4176,0.1624,0.1007,0.2048,0.2172,0.2485,0.2458
