subject,sessionIndex,rep,UU.period.t,UU.t.i,UU.i.e,UU.e.five,UU.five.Shift.r,UU.Shift.r.o,UU.o.a,UU.a.n,UU.n.l,UU.l.Return
s002,1,1,0.3557,0.1774,0.246,1.1614,1.5976,0.7539,0.2469,0.1067,0.3921,0.2913
s002,1,2,0.3034,0.1497,0.1278,1.183,0.8703,0.7373,0.203,0.2292,0.2335,0.2664
s002,1,3,0.1475,0.1381,0.1529,1.0492,0.6765,0.7106,0.3187,0.1883,0.2618,0.2707
s002,1,4,0.2283,0.2476,0.1898,1.0569,1.3105,0.7052,0.2031,0.1038,0.232,0.32
s002,1,5,0.1963,0.1684,0.1491,0.8566,0.9456,0.6819,0.2857,0.1154,0.2536,0.2432
s002,1,6,0.1762,0.123,0.1531,0.9452,1.1635,0.3189,0.1405,0.112,0.2462,0.277
s002,1,7,0.1871,0.1302,0.1396,0.8033,1.2098,0.3368,0.1485,0.0668,0.2096,0.2918
s002,1,8,0.1699,0.1307,0.1396,0.7044,1.1562,0.2983,0.1571,0.0539,0.2312,0.2449
s002,1,9,0.1602,0.1364,0.1341,0.7402,0.9633,0.2344,0.1408,0.0928,0.2233,0.262
s002,1,10,0.1445,0.1492,0.1288,0.7563,0.8395,0.308,0.2129,0.0906,0.2278,0.2849
s002,1,11,0.1649,0.1523,0.1239,0.7059,0.8589,0.2827,0.248,-0.0314,0.4123,0.2762
s002,1,12,0.1438,0.1423,0.1492,0.9036,0.7965,0.4336,0.2427,0.0785,0.2185,0.2636
s002,1,13,0.1406,0.1444,0.126,0.7371,1.1101,0.3481,0.2207,0.1119,0.3252,0.2404
s002,1,14,0.1773,0.1956,0.1373,0.9437,0.8152,0.3516,0.4659,0.1336,0.3281,0.3019
s002,1,15,0.2132,0.1702,0.1536,1.3361,1.1134,0.6572,0.2229,0.0518,0.223,1.1581
s002,1,16,0.148,0.1365,0.1618,0.6111,0.8571,0.1919,0.188,0.0957,0.2122,0.2332
s002,1,17,0.1575,0.1402,0.1489,0.8703,0.852,0.3547,0.2171,0.046,0.2093,0.2103
s002,1,18,0.148,0.1508,0.1541,0.7592,0.7539,0.4242,0.2179,0.0207,0.2341,0.2617
s002,1,19,0.1897,0.1962,0.1702,0.7898,0.5717,0.25,0.25,0.0397,0.2259,0.6544
s002,1,20,0.1483,0.1481,0.1496,0.6315,0.7514,0.2508,0.2115,0.3283,0.7313,0.2548
