subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,1,1,0.1491,0.3979,0.2488,0.1069,0.1674,0.0605,0.1169,0.2212,0.1043,0.1417,1.1885,1.0468,0.1146,1.6055,1.4909,0.1067,0.759,0.6523,0.1016,0.2136,0.112,0.1349,0.1484,0.0135,0.0932,0.3515,0.2583,0.1338,0.3509,0.2171,0.0742
s002,1,2,0.1111,0.3451,0.234,0.0694,0.1283,0.0589,0.0908,0.1357,0.0449,0.0829,1.197,1.1141,0.0689,0.7822,0.7133,0.157,0.7877,0.6307,0.1066,0.1684,0.0618,0.1412,0.2558,0.1146,0.1146,0.2642,0.1496,0.0839,0.2756,0.1917,0.0747
s002,1,3,0.1328,0.2072,0.0744,0.0731,0.1291,0.056,0.0821,0.1542,0.0721,0.0808,1.0408,0.96,0.0892,0.6203,0.5311,0.1454,0.7195,0.5741,0.1365,0.2931,0.1566,0.1621,0.2332,0.0711,0.1172,0.2705,0.1533,0.1085,0.2847,0.1762,0.0945
s002,1,4,0.1291,0.2515,0.1224,0.1059,0.2495,0.1436,0.104,0.2038,0.0998,0.09,1.0556,0.9656,0.0913,1.2564,1.1651,0.1454,0.755,0.6096,0.0956,0.153,0.0574,0.1457,0.1629,0.0172,0.0866,0.2341,0.1475,0.0845,0.3232,0.2387,0.0813
s002,1,5,0.1249,0.2317,0.1068,0.0895,0.1676,0.0781,0.0903,0.1589,0.0686,0.0805,0.8629,0.7824,0.0742,0.8955,0.8213,0.1243,0.7632,0.6389,0.043,0.1975,0.1545,0.1312,0.1582,0.027,0.0884,0.2517,0.1633,0.0903,0.2517,0.1614,0.0818
s002,1,6,0.1394,0.2343,0.0949,0.0813,0.1299,0.0486,0.0744,0.1412,0.0668,0.0863,0.9373,0.851,0.0942,1.0896,0.9954,0.1681,0.3716,0.2035,0.1154,0.1287,0.0133,0.1272,0.1534,0.0262,0.0858,0.2528,0.167,0.0792,0.2971,0.2179,0.0591
s002,1,7,0.1064,0.2069,0.1005,0.0866,0.1368,0.0502,0.08,0.1407,0.0607,0.0789,0.7967,0.7178,0.0855,1.2005,1.115,0.0948,0.3083,0.2135,0.1233,0.14,0.0167,0.1318,0.1204,-0.0114,0.0782,0.1999,0.1217,0.0879,0.2907,0.2028,0.089
s002,1,8,0.0929,0.181,0.0881,0.0818,0.1378,0.056,0.0747,0.1367,0.062,0.0776,0.6447,0.5671,0.1373,1.1876,1.0503,0.1059,0.3139,0.208,0.0903,0.1152,0.0249,0.1322,0.104,-0.0282,0.0821,0.2127,0.1306,0.1006,0.2776,0.177,0.0679
s002,1,9,0.0966,0.1797,0.0831,0.0771,0.1296,0.0525,0.0839,0.1425,0.0586,0.0755,0.7357,0.6602,0.08,0.9406,0.8606,0.1027,0.2257,0.123,0.1114,0.126,0.0146,0.1262,0.1403,0.0141,0.0787,0.2138,0.1351,0.0882,0.2868,0.1986,0.0634
s002,1,10,0.1093,0.1807,0.0714,0.0731,0.1457,0.0726,0.0766,0.1241,0.0475,0.0813,0.755,0.6737,0.0826,0.8065,0.7239,0.1156,0.3117,0.1961,0.1119,0.1785,0.0666,0.1463,0.1162,-0.0301,0.1207,0.2281,0.1074,0.1204,0.3187,0.1983,0.0866
s002,2,1,0.1446,0.4628,0.3182,0.0803,0.1429,0.0626,0.1183,0.1798,0.0615,0.0942,1.441,1.3468,0.0742,0.9794,0.9052,0.1175,0.2743,0.1568,0.1275,0.164,0.0365,0.1325,0.1722,0.0397,0.0929,0.1773,0.0844,0.1386,0.3,0.1614,0.0866
s002,2,2,0.109,0.2343,0.1253,0.0652,0.0987,0.0335,0.0755,0.1106,0.0351,0.0818,0.6275,0.5457,0.076,0.7983,0.7223,0.1003,0.236,0.1357,0.1077,0.1141,0.0064,0.1003,0.1407,0.0404,0.076,0.161,0.085,0.0979,0.2311,0.1332,0.0721
s002,2,3,0.0977,0.1953,0.0976,0.0869,0.1305,0.0436,0.0816,0.1378,0.0562,0.0702,0.8938,0.8236,0.066,0.7081,0.6421,0.1396,0.327,0.1874,0.0818,0.1191,0.0373,0.0874,0.1271,0.0397,0.0747,0.1887,0.114,0.0869,0.2174,0.1305,0.0697
s002,2,4,0.0977,0.1976,0.0999,0.0758,0.1218,0.046,0.0702,0.1246,0.0544,0.0723,0.5919,0.5196,0.0689,0.8627,0.7938,0.1235,0.2692,0.1457,0.1243,0.1524,0.0281,0.1188,0.1255,0.0067,0.0713,0.1871,0.1158,0.0932,0.2425,0.1493,0.0744
s002,2,5,0.1056,0.1897,0.0841,0.0821,0.1217,0.0396,0.07,0.1402,0.0702,0.065,0.5838,0.5188,0.081,0.445,0.364,0.0964,0.2004,0.104,0.0705,0.0883,0.0178,0.1045,0.1127,0.0082,0.0774,0.1513,0.0739,0.0945,0.219,0.1245,0.0797
s002,2,6,0.0911,0.1132,0.0221,0.0821,0.1207,0.0386,0.0684,0.2526,0.1842,0.0697,0.8777,0.808,0.0715,0.4389,0.3674,0.1101,0.1703,0.0602,0.0879,0.1257,0.0378,0.1077,0.1088,0.0011,0.0726,0.1676,0.095,0.0964,0.29,0.1936,0.0855
